SK_LOCALIDADE,VERSAO,DT_INICIO,DT_FIM,NK_ID_LOCALIDADE,NM_NEIGHBOURHOOD_GROUP,NM_NEIGHBOURHOOD,CD_LATITUDE,CD_LONGITUDE
114,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,113,Queens                                                                                                                                                                                                                                                    ,Bayside                                                                                                                                                                                                                                                   ,40.75666            ,-73.76314           
115,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,114,Brooklyn                                                                                                                                                                                                                                                  ,Downtown Brooklyn                                                                                                                                                                                                                                         ,40.69594            ,-73.98375           
116,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,115,Bronx                                                                                                                                                                                                                                                     ,Port Morris                                                                                                                                                                                                                                               ,40.80461            ,-73.92276           
117,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,116,Bronx                                                                                                                                                                                                                                                     ,Fieldston                                                                                                                                                                                                                                                 ,40.88757            ,-73.90522           
118,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,117,Queens                                                                                                                                                                                                                                                    ,Kew Gardens                                                                                                                                                                                                                                               ,40.70947            ,-73.82922           
119,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,118,Brooklyn                                                                                                                                                                                                                                                  ,Midwood                                                                                                                                                                                                                                                   ,40.62908            ,-73.95965           
120,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,119,Queens                                                                                                                                                                                                                                                    ,College Point                                                                                                                                                                                                                                             ,40.78417            ,-73.83875           
121,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,120,Bronx                                                                                                                                                                                                                                                     ,Mount Eden                                                                                                                                                                                                                                                ,40.84058            ,-73.91382           
122,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,121,Bronx                                                                                                                                                                                                                                                     ,City Island                                                                                                                                                                                                                                               ,40.85235            ,-73.78873           
123,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,122,Queens                                                                                                                                                                                                                                                    ,Glendale                                                                                                                                                                                                                                                  ,40.70538            ,-73.89448           
124,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,123,Staten Island                                                                                                                                                                                                                                             ,Port Richmond                                                                                                                                                                                                                                             ,40.62922            ,-74.13354           
125,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,124,Brooklyn                                                                                                                                                                                                                                                  ,Red Hook                                                                                                                                                                                                                                                  ,40.67685            ,-74.00581           
126,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,125,Queens                                                                                                                                                                                                                                                    ,Richmond Hill                                                                                                                                                                                                                                             ,40.7017             ,-73.82316           
127,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,126,Queens                                                                                                                                                                                                                                                    ,Bellerose                                                                                                                                                                                                                                                 ,40.73193            ,-73.74481           
128,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,127,Queens                                                                                                                                                                                                                                                    ,Maspeth                                                                                                                                                                                                                                                   ,40.73732            ,-73.90168           
129,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,128,Bronx                                                                                                                                                                                                                                                     ,Williamsbridge                                                                                                                                                                                                                                            ,40.88296            ,-73.86264           
130,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,129,Bronx                                                                                                                                                                                                                                                     ,Soundview                                                                                                                                                                                                                                                 ,40.82138            ,-73.87603           
131,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,130,Queens                                                                                                                                                                                                                                                    ,Woodhaven                                                                                                                                                                                                                                                 ,40.68968            ,-73.85219           
132,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,131,Staten Island                                                                                                                                                                                                                                             ,Woodrow                                                                                                                                                                                                                                                   ,40.53884            ,-74.19826           
133,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,132,Bronx                                                                                                                                                                                                                                                     ,Co-Op City                                                                                                                                                                                                                                                ,40.86317            ,-73.82494           
134,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,133,Manhattan                                                                                                                                                                                                                                                 ,Stuyvesant Town                                                                                                                                                                                                                                           ,40.73196            ,-73.97932           
135,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,134,Bronx                                                                                                                                                                                                                                                     ,Parkchester                                                                                                                                                                                                                                               ,40.83645            ,-73.86634           
136,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,135,Bronx                                                                                                                                                                                                                                                     ,North Riverdale                                                                                                                                                                                                                                           ,40.90804            ,-73.90005           
137,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,136,Brooklyn                                                                                                                                                                                                                                                  ,Dyker Heights                                                                                                                                                                                                                                             ,40.6283             ,-74.01608           
138,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,137,Bronx                                                                                                                                                                                                                                                     ,Bronxdale                                                                                                                                                                                                                                                 ,40.85667            ,-73.86543           
139,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,138,Brooklyn                                                                                                                                                                                                                                                  ,Sea Gate                                                                                                                                                                                                                                                  ,40.57645            ,-74.01065           
140,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,139,Bronx                                                                                                                                                                                                                                                     ,Riverdale                                                                                                                                                                                                                                                 ,40.88579            ,-73.91599           
141,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,140,Queens                                                                                                                                                                                                                                                    ,Kew Gardens Hills                                                                                                                                                                                                                                         ,40.72664            ,-73.82795           
142,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,141,Queens                                                                                                                                                                                                                                                    ,Bay Terrace                                                                                                                                                                                                                                               ,40.78645            ,-73.77958           
143,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,142,Bronx                                                                                                                                                                                                                                                     ,Norwood                                                                                                                                                                                                                                                   ,40.87605            ,-73.88047           
144,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,143,Bronx                                                                                                                                                                                                                                                     ,Claremont Village                                                                                                                                                                                                                                         ,40.84192            ,-73.91108           
145,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,144,Queens                                                                                                                                                                                                                                                    ,Whitestone                                                                                                                                                                                                                                                ,40.79721            ,-73.816             
146,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,145,Bronx                                                                                                                                                                                                                                                     ,Fordham                                                                                                                                                                                                                                                   ,40.86705            ,-73.88545           
147,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,146,Queens                                                                                                                                                                                                                                                    ,Bayswater                                                                                                                                                                                                                                                 ,40.60549            ,-73.75547           
148,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,147,Brooklyn                                                                                                                                                                                                                                                  ,Navy Yard                                                                                                                                                                                                                                                 ,40.70481            ,-73.97755           
149,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,148,Brooklyn                                                                                                                                                                                                                                                  ,Brownsville                                                                                                                                                                                                                                               ,40.66682            ,-73.92303           
150,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,149,Staten Island                                                                                                                                                                                                                                             ,Eltingville                                                                                                                                                                                                                                               ,40.54268            ,-74.16254           
151,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,150,Queens                                                                                                                                                                                                                                                    ,Fresh Meadows                                                                                                                                                                                                                                             ,40.75037            ,-73.79154           
152,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,151,Bronx                                                                                                                                                                                                                                                     ,Mount Hope                                                                                                                                                                                                                                                ,40.84611            ,-73.91036           
153,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,152,Staten Island                                                                                                                                                                                                                                             ,Lighthouse Hill                                                                                                                                                                                                                                           ,40.57718            ,-74.13981           
154,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,153,Queens                                                                                                                                                                                                                                                    ,Springfield Gardens                                                                                                                                                                                                                                       ,40.67425            ,-73.75796           
155,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,154,Queens                                                                                                                                                                                                                                                    ,Howard Beach                                                                                                                                                                                                                                              ,40.65443            ,-73.84605           
156,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,155,Queens                                                                                                                                                                                                                                                    ,Belle Harbor                                                                                                                                                                                                                                              ,40.57321            ,-73.85769           
157,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,156,Queens                                                                                                                                                                                                                                                    ,Jamaica Estates                                                                                                                                                                                                                                           ,40.71873            ,-73.80324           
158,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,157,Bronx                                                                                                                                                                                                                                                     ,Van Nest                                                                                                                                                                                                                                                  ,40.8423             ,-73.87055           
159,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,158,Bronx                                                                                                                                                                                                                                                     ,Morris Park                                                                                                                                                                                                                                               ,40.85465            ,-73.85669           
160,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,159,Staten Island                                                                                                                                                                                                                                             ,West Brighton                                                                                                                                                                                                                                             ,40.63182            ,-74.124             
161,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,160,Queens                                                                                                                                                                                                                                                    ,Far Rockaway                                                                                                                                                                                                                                              ,40.59642            ,-73.75606           
162,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,161,Queens                                                                                                                                                                                                                                                    ,South Ozone Park                                                                                                                                                                                                                                          ,40.66788            ,-73.82419           
163,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,162,Bronx                                                                                                                                                                                                                                                     ,Tremont                                                                                                                                                                                                                                                   ,40.83875            ,-73.88728           
164,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,163,Queens                                                                                                                                                                                                                                                    ,Corona                                                                                                                                                                                                                                                    ,40.73886            ,-73.85147           
165,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,164,Staten Island                                                                                                                                                                                                                                             ,Great Kills                                                                                                                                                                                                                                               ,40.5517             ,-74.14636           
166,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,165,Brooklyn                                                                                                                                                                                                                                                  ,Manhattan Beach                                                                                                                                                                                                                                           ,40.5777             ,-73.93988           
